候选,仓库,stars,语言,license,最近push,复式记账,资产负债表,利润表,现金流量表,权益变动,结账反结账,支付宝微信导入,季度累计口径,PDF导出,CSV导出,本地单机,适配成本,综合评级,结论
hledger-flow,https://github.com/apauley/hledger-flow,219,Haskell,GPL-3.0,2026-07-15,✅ 借用hledger,✅,✅,✅,⚠️,⚠️,✅ 原始账单驱动,✅,⚠️,✅,✅,低(模式借鉴),★★★★,纳入方案A
EzBookkeeping,https://github.com/mayswind/ezbookkeeping,5533,Go,MIT,2026-09-05,❌ 单式,❌,❌,❌,❌,❌,⚠️ 手动导入,❌,❌,✅,✅,低但能力不达标,★★,不选
Wealthfolio,https://github.com/wealthfolio/wealthfolio,8807,Rust,AGPL-3.0,2026-09-06,❌ 非复式(组合/净值),❌,❌,❌,❌,❌,❌ 无支付宝微信预设(通用CSV映射),❌,✅(app自身/无CSV财报),✅ 数据导出CSV/JSON,✅ 本地SQLite,低(引入为投资仪表盘),★★★★☆,引入:投资仪表盘层
Ghostfolio,https://github.com/ghostfolio/ghostfolio,9247,TypeScript,AGPL-3.0,2026-09-06,❌,❌,❌,❌,❌,❌,⚠️ 活动CSV/经纪商,❌,⚠️,✅,✅ Docker自托管,低(替代Wealthfolio备选),★★★★,备选:自托管组合仪表盘
Portfolio Performance,https://github.com/portfolio-performance/portfolio,4060,Java,EPL-1.0,2026-09-03,❌ 组合会计,❌,❌,❌,❌,❌,❌,⚠️ 高级绩效/回撤,✅,⚠️,✅ 桌面,低(备选),★★★★,备选:极致绩效分析
Paisa,https://github.com/ananthakumaran/paisa,3206,Go/TypeScript,AGPL-3.0,2026-09-03? ,❌ 无自身引擎(ledger/hledger/beancount后端),❌,❌,❌,❌,❌,✅ CSV/Excel/PDF导入模板,❌,✅ UI,✅,✅ 本地Web,低(1行bug需修),★★★★☆,引入:日常Web UI层
fava_investor,https://github.com/redstreet/fava_investor,182,Python,GPL-3.0,2026-01-21,✅ 基于beancount,⚠️ 配置分析,❌,❌,❌,❌,❌,⚠️ 资产配置/税损,❌,✅,✅,低(抄素材),★★★☆,抄素材(beancount线)
ledger-obsidian,https://github.com/tgrosinger/ledger-obsidian,558,TypeScript,GPL-3.0,2024-07-06,✅ PTA,⚠️,⚠️,⚠️,❌,❌,❌,❌,❌,✅ Obsidian UI,✅,低(二期),★★★☆,二期:Obsidian集成参考
balance-budget,https://github.com/balance-budget/balance-budget,4,C#,AGPL-3.0,2026-09-05,✅ 双记+科目树+inbox,⚠️ 净值/资金流报告,⚠️,⚠️,❌,❌,⚠️ 银行CSV/PDF导入,❌,❌,✅,✅ SQLite/Postgres,高(太新),★★★,抄inbox工作流参考
Beancount-Trans,https://github.com/dhr2333/Beancount-Trans,77,TypeScript,MIT,2026-08-29,✅,✅(fava),✅(fava),❌,❌,❌,✅ 含BERT本地分类,❌,❌,❌,⚠️ Docker+PG+Redis+Celery+BERT,中(抄解析映射),★★★★,抄素材:解析/映射/BERT预分类
Sossoldi,https://github.com/RIP-Comm/sossoldi,1391,Dart,MIT,2026-08-24,❌ 净值追踪,❌,❌,❌,❌,❌,⚠️,❌,❌,✅,✅,低,★★,不选(与Wealthfolio重复)
Picsou,https://github.com/Zoeille/picsou-finance,505,Java,NOASSERTION,2026-09-04,❌ 仪表盘,❌,❌,❌,❌,❌,⚠️,❌,❌,✅,✅,低,★★,不选
Finanze,https://github.com/finanze/finanze,51,TypeScript,AGPL-3.0,2026-09-05,❌ 净值追踪,❌,❌,❌,❌,❌,⚠️,❌,❌,✅,✅,低,★★,不选
Actual Budget,https://github.com/actualbudget/actual,28577,TypeScript,MIT,2026-09-05,❌ 信封预算,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,低,★★★★(预算专用),二期预算备选
